r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
2,0,13,"[0.45, 0.41, None, 0.46]","[0.34, 0.77, None, 0.37]",,,True,0.4,0.06,0.06,B3,S0
2,0,14,"[0.45, 0.54, None, 0.43]","[0.39, 0.82, None, 0.37]",,,True,0.45,0.2,0.08,B1,S3
2,0,15,"[0.45, 0.62, None, 0.43]","[0.39, 0.35, None, 0.52]",,,True,0.49,0.15,0.14,B1,S1
2,0,16,"[0.45, 0.41, None, 0.43]","[0.39, 0.56, None, 0.52]",,,True,0.42,0.03,0.03,B0,S0
2,0,17,"[0.45, 0.02, None, 0.43]","[0.41, 0.57, None, 0.52]",,,True,0.43,0.02,0.02,B0,S0
2,0,18,"[0.43, 0.3, None, 0.43]","[0.45, 0.7, None, 0.52]",0.43,0.45,False,,,,,
2,0,19,"[0.43, 0.12, 0.45, 0.43]","[0.45, 0.53, 0.43, 0.52]",,,True,0.44,0.49,0.29,B2,S2
2,0,20,"[0.43, 0.43, None, 0.43]","[0.45, 0.43, None, 0.52]",,,True,0.43,0.0,0.02,B0,S1
2,0,21,"[0.33, 0.47, None, 0.43]","[0.45, 0.82, None, 0.52]",,,True,0.46,0.13,0.01,B1,S0
2,0,22,"[0.33, 0.54, None, 0.43]","[0.69, 0.87, None, 0.52]",,,True,0.53,0.05,0.01,B1,S3
2,0,23,"[0.33, 0.43, None, 0.43]","[0.69, 0.63, None, 0.52]",0.43,0.52,False,,,,,
2,0,24,"[0.33, 0.24, 0.52, 0.43]","[0.69, 0.62, 0.43, 0.52]",,,True,0.47,0.44,0.3,B2,S2
2,0,25,"[0.33, 0.49, None, 0.43]","[0.69, 0.98, None, 0.52]",0.49,0.52,False,,,,,
2,0,26,"[0.33, 0.47, 0.52, 0.43]","[0.69, 0.95, 0.49, 0.52]",,,True,0.51,0.39,0.28,B2,S2
2,0,27,"[0.33, 0.07, None, 0.43]","[0.69, 0.64, None, 0.52]",0.43,0.52,False,,,,,
2,0,28,"[0.33, 0.02, 0.52, 0.43]","[0.69, 0.68, 0.43, 0.52]",,,True,0.47,0.31,0.25,B2,S2
2,0,29,"[0.33, 0.05, None, 0.43]","[0.69, 0.98, None, 0.52]",0.43,0.52,False,,,,,
2,0,30,"[0.33, 0.21, 0.52, 0.43]","[0.69, 0.86, 0.43, 0.52]",,,True,0.47,0.12,0.19,B2,S2
