r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
3,0,8,"[0.72, 0.27, None, 0.35]","[0.49, 0.28, None, 0.46]",,,True,0.5,0.4,0.44,B0,S1
3,0,9,"[0.59, 0.31, None, 0.35]","[0.42, 0.23, None, 0.46]",,,True,0.41,0.24,0.3,B0,S1
3,0,10,"[0.63, 0.13, None, 0.35]","[0.36, 0.47, None, 0.46]",,,True,0.5,0.14,0.14,B0,S0
3,0,11,"[0.38, 0.07, None, 0.35]","[0.44, 0.39, None, 0.46]",0.38,0.39,False,,,,,
3,0,12,"[0.38, 0.39, 0.39, 0.35]","[0.44, 0.79, 0.38, 0.46]",,,True,0.38,0.13,0.38,B1,S2
3,0,13,"[0.38, 0.02, None, 0.35]","[0.44, 0.76, None, 0.46]",0.38,0.44,False,,,,,
3,0,14,"[0.38, 0.19, 0.44, 0.35]","[0.44, 0.16, 0.38, 0.46]",,,True,0.3,0.55,0.17,B2,S1
3,0,15,"[0.38, 0.34, None, 0.35]","[0.44, 0.82, None, 0.46]",0.38,0.44,False,,,,,
3,0,16,"[0.38, 0.15, 0.44, 0.35]","[0.44, 0.88, 0.38, 0.46]",,,True,0.41,0.4,0.29,B2,S2
3,0,17,"[0.38, 0.4, None, 0.35]","[0.44, 0.86, None, 0.46]",0.4,0.44,False,,,,,
3,0,18,"[0.38, 0.03, 0.44, 0.35]","[0.44, 0.71, 0.4, 0.46]",,,True,0.42,0.31,0.16,B2,S2
3,0,19,"[0.38, 0.46, None, 0.35]","[0.44, 0.74, None, 0.46]",,,True,0.45,0.02,0.01,B1,S0
3,0,20,"[0.38, 0.37, None, 0.35]","[0.49, 0.22, None, 0.46]",,,True,0.3,0.08,0.15,B0,S1
3,0,21,"[0.24, 0.43, None, 0.35]","[0.49, 0.38, None, 0.46]",,,True,0.41,0.03,0.22,B1,S1
3,0,22,"[0.24, 0.42, None, 0.35]","[0.49, 0.42, None, 0.46]",,,True,0.42,0.02,0.03,B1,S1
3,0,23,"[0.24, 0.24, None, 0.35]","[0.49, 0.7, None, 0.46]",0.35,0.46,False,,,,,
3,0,24,"[0.24, 0.07, 0.46, 0.35]","[0.49, 0.87, 0.99, 0.46]",,,True,0.46,0.22,0.0,B2,S3
3,0,25,"[0.24, 0.3, None, 0.35]","[0.49, 0.89, None, 0.66]",0.35,0.49,False,,,,,
3,0,26,"[0.24, 0.23, 0.01, 0.35]","[0.49, 0.55, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,27,"[0.24, 0.03, 0.01, 0.35]","[0.49, 0.78, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,28,"[0.24, 0.02, 0.01, 0.35]","[0.49, 0.96, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,29,"[0.24, 0.04, 0.01, 0.35]","[0.49, 0.64, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,30,"[0.24, 0.1, 0.01, 0.35]","[0.49, 0.61, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,31,"[0.24, 0.2, 0.01, 0.35]","[0.49, 0.84, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,32,"[0.24, 0.11, 0.01, 0.35]","[0.49, 0.72, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,33,"[0.24, 0.32, 0.01, 0.35]","[0.49, 0.63, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,34,"[0.24, 0.0, 0.01, 0.35]","[0.49, 0.74, 0.99, 0.66]",0.35,0.49,False,,,,,
3,0,35,"[0.24, 0.21, 0.01, 0.35]","[0.49, 0.69, 0.99, 0.66]",0.35,0.49,False,,,,,
